Gender Details,Product Info,Option ID,Product Option Info,Full URL
"['Kadın', 'Plaj Kıyafeti']",Optik Beyaz,3111827,"['Ürün Özellikleri:', 'Marka: LCW DREAM', 'Uzunluk: Mini', 'Cinsiyet: Kadın', 'Desen: Nakışlı', 'Yaka: V Yaka', 'Kalıp: Standart', 'Kol Boyu: Kısa Kol', 'Siluet: Önden Bağlama', 'Kumaş: Şifon', 'Ürün Tip: Plaj Elbisesi']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Plaj-Elbisesi/6386943/3111827
"['Kadın', 'Hamile Giyim']",Açık Mavi,3144546,"['Ürün Özellikleri:', 'Kol Boyu: Uzun Kol', 'Desen: Kendinden Desenli', 'Kalınlık: Kalın', 'Yaka: Balıkçı / Yarım Balıkçı Yaka', 'Ürün Tip: Kazak', 'Cinsiyet: Kadın', 'Stil: Hamilelik Dönemi ve Sonrası', 'Kumaş: Triko', 'Kalıp: Rahat Kalıp', 'Marka: LCWAIKIKI Maternity']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Kazak/6596759/3144546
"['Kadın', 'Bluz']",Bej Melanj,3222505,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Kumaş: Penye', 'Desen: Nakışlı', 'Marka: LCW Grace', 'Malzeme: Yüksek Pamuk İçerir', 'Kalınlık: İnce', 'Yaka: Bisiklet Yaka', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6806624/3222505
"['Kadın', 'Tişört']",Ekru,3014831,"['Ürün Özellikleri:', 'Kalıp: Dar', 'Ürün Tip: Tişört', 'Malzeme: Yüksek Pamuk İçerir', 'Kalınlık: İnce', 'Cinsiyet: Kadın', 'Yaka: Bisiklet Yaka', 'Kol Boyu: Kısa Kol', 'Marka: LCWAIKIKI Basic', 'Desen: Düz', 'Kumaş: Penye']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6516056/3014831
"['Kadın', 'Plaj Kıyafeti']",Taş,3275565,"['Ürün Özellikleri:', 'Marka: For You Moda', 'Cinsiyet: Kadın', 'Ürün Tip: Pareo']",/tr-TR/TR/urun/Markalar/kadin/Pareo/500036670/3275565
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Kazak/6571001/3076477
"['Kadın', 'Gömlek']",Mat Mavi,3188588,"['Ürün Özellikleri:', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Ürün Tip: Gömlek', 'Kalınlık: İnce', 'Cinsiyet: Kadın', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin', 'Kol Boyu: 3/4 Boy']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6591022/3188588
"['Kadın', 'Etek']",Siyah Baskılı,3237817,"['Ürün Özellikleri:', 'Kalıp: Standart', 'Cinsiyet: Kadın', 'Uzunluk: Uzun', 'Desen: Çiçekli', 'Ürün Tip: Etek', 'Marka: LCW Grace', 'Kumaş: Viskon', 'Astar Detay: Astarsız']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Etek/6587388/3237817
"['Kadın', 'Gömlek']",Yeşil,3188666,"['Ürün Özellikleri:', 'Ürün Tip: Gömlek', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Cinsiyet: Kadın', 'Kalınlık: İnce', 'Kol Boyu: 3/4 Boy', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6592142/3188666
"['Kadın', 'Gömlek']",Yeni Siyah,3188663,"['Ürün Özellikleri:', 'Ürün Tip: Gömlek', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Cinsiyet: Kadın', 'Kalınlık: İnce', 'Kol Boyu: 3/4 Boy', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6592142/3188663
"['Kadın', 'Pantolon']",Yeni Siyah,3147308,"['Ürün Özellikleri:', 'Kalıp: Dar', 'Cinsiyet: Kadın', 'Ürün Tip: Pantolon', 'Marka: LCWAIKIKI Basic', 'Kalınlık: Orta Kalınlık', 'Desen: Düz']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Pantolon/6507189/3147308
"['Kadın', 'Tunik']",Bej Baskılı,3166099,"['Ürün Özellikleri:', 'Desen: Çiçekli', 'Cinsiyet: Kadın', 'Uzunluk: Basen Boy', 'Kalıp: Standart', 'Ürün Tip: Tunik', 'Marka: LCW Grace', 'Kol Boyu: Uzun Kol', 'Yaka: Bisiklet Yaka']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/6512806/3166099
"['Kadın', 'Pantolon']",Bej,3147306,"['Ürün Özellikleri:', 'Kalıp: Dar', 'Cinsiyet: Kadın', 'Ürün Tip: Pantolon', 'Marka: LCWAIKIKI Basic', 'Kalınlık: Orta Kalınlık', 'Desen: Düz']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Pantolon/6507189/3147306
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6562101/3187699
"['Kadın', 'Gömlek']",Mor,2677820,"['Ürün Özellikleri:', 'Yaka: Gömlek Yaka', 'Cinsiyet: Kadın', 'Ürün Tip: Gömlek', 'Kalınlık: İnce', 'Kol Boyu: Uzun Kol', 'Marka: LCW Casual', 'Kalıp: Oversize / Salaş', 'Desen: Düz', 'Uzunluk: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6175281/2677820
"['Kadın', 'Etek']",Kahverengi Jakarlı,3148541,"['Ürün Özellikleri:', 'Kalıp: Rahat Kalıp', 'Desen: Baskılı / Desenli', 'Ürün Tip: Etek', 'Marka: LCW Grace', 'Kumaş: Viskon', 'Astar Detay: Astarsız', 'Cinsiyet: Kadın', 'Uzunluk: Midi']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Etek/6590721/3148541
"['Kadın', 'Tişört']",Koyu Gülkurusu,3192516,"['Ürün Özellikleri:', 'Kalınlık: İnce', 'Kumaş: Penye', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Cinsiyet: Kadın', 'Ürün Tip: Tişört', 'Desen: Baskılı / Desenli', 'Yaka: Bisiklet Yaka', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6730964/3192516
"['Kadın', 'Kazak']",Koyu Mor,2447770,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Kumaş: Triko', 'Yaka: Bisiklet Yaka', 'Marka: LCWAIKIKI Basic', 'Kol Boyu: Uzun Kol', 'Desen: Kendinden Desenli', 'Ürün Tip: Kazak', 'Kalıp: Standart', 'Kalınlık: Orta Kalınlık']",/tr-TR/TR/urun/outlet/LC-WAIKIKI/kadin/Kazak/5779221/2447770
"['Kadın', 'Tunik']",Yeni Siyah,3267970,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Kol Boyu: Uzun Kol', 'Yaka: Bağlamalı Yaka', 'Kalıp: Standart', 'Uzunluk: Basen Boy', 'Desen: Baskılı / Desenli', 'Ürün Tip: Tunik', 'Marka: LCW Grace']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/6844395/3267970
"['Kadın', 'Pantolon']",Yeni Siyah,3152877,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Kalıp: Dar', 'Ürün Tip: Pantolon', 'Marka: LCWAIKIKI Basic', 'Kalınlık: Orta Kalınlık', 'Desen: Düz']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Pantolon/6504121/3152877
"['Kadın', 'Bluz']",Yeni Siyah,3147491,"['Ürün Özellikleri:', 'Kumaş: Penye', 'Ürün Tip: Bluz', 'Marka: LCW Grace', 'Yaka: Bağlamalı Yaka', 'Cinsiyet: Kadın', 'Desen: Nakışlı', 'Kalınlık: İnce', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6655042/3147491
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/outlet/LC-WAIKIKI/kadin/Bluz/5353319/1787545
"['Kadın', 'Bluz']",Yeni Siyah,3189250,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Malzeme: Yüksek Pamuk İçerir', 'Desen: Baskılı / Desenli', 'Yaka: Bisiklet Yaka', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart', 'Marka: LCW Grace', 'Kalınlık: Orta Kalınlık', 'Kumaş: Penye']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6613514/3189250
"['Kadın', 'Bluz']",Açık Yeşil,3187701,"['Ürün Özellikleri:', 'Desen: Nakışlı', 'Kalınlık: İnce', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart', 'Cinsiyet: Kadın', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Kumaş: Poplin', 'Malzeme: %100 Pamuk']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6562101/3187701
"['Kadın', 'Bluz']",Mat Mavi,3187702,"['Ürün Özellikleri:', 'Desen: Nakışlı', 'Kalınlık: İnce', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart', 'Cinsiyet: Kadın', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Kumaş: Poplin', 'Malzeme: %100 Pamuk']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6562101/3187702
"['Kadın', 'Bluz']",Bordo Baskılı,2648721,"['Ürün Özellikleri:', 'Kol Boyu: Uzun Kol', 'Desen: Baskılı / Desenli', 'Cinsiyet: Kadın', 'Kalıp: Standart', 'Ürün Tip: Bluz', 'Kumaş: Viskon', 'Yaka: Kaçık Yaka', 'Marka: LCW Grace']",/tr-TR/TR/urun/outlet/LC-WAIKIKI/kadin/Bluz/6332062/2648721
"['Kadın', 'Bluz']",Lacivert,3147492,"['Ürün Özellikleri:', 'Kumaş: Penye', 'Ürün Tip: Bluz', 'Marka: LCW Grace', 'Yaka: Bağlamalı Yaka', 'Cinsiyet: Kadın', 'Desen: Nakışlı', 'Kalınlık: İnce', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6655042/3147492
"['Kadın', 'Tişört']",Bej,3414357,"['Ürün Özellikleri:', 'Desen: Renk Bloğu', 'Marka: LCW Grace', 'Cinsiyet: Kadın', 'Ürün Tip: Tişört', 'Yaka: Bisiklet Yaka', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6930340/3414357
"['Kadın', 'Bluz']",Antrasit Melanj,3049137,"['Ürün Özellikleri:', 'Kalınlık: İnce', 'Yaka: Bisiklet Yaka', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart', 'Desen: İşlemeli', 'Kumaş: Penye', 'Marka: LCW Grace', 'Cinsiyet: Kadın']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6612879/3049137
"['Kadın', 'Yelek']",Yeni Siyah,3257140,"['Ürün Özellikleri:', 'Marka: LCW Grace', 'Cinsiyet: Kadın', 'Desen: Baskılı / Desenli', 'Yaka: V Yaka', 'Kol Boyu: Askılı / Kolsuz', 'Kalıp: Standart', 'Kumaş: İnterlok', 'Ürün Tip: Yelek', 'Kalınlık: Orta Kalınlık']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Yelek/6804481/3257140
"['Kadın', 'Bluz']",Lacivert,3188905,"['Ürün Özellikleri:', 'Desen: Baskılı / Desenli', 'Kalıp: Standart', 'Kalınlık: İnce', 'Kol Boyu: Uzun Kol', 'Ürün Tip: Bluz', 'Yaka: Bağlamalı Yaka', 'Kumaş: Penye', 'Marka: LCW Grace', 'Malzeme: %100 Pamuk', 'Cinsiyet: Kadın']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6604003/3188905
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6564981/3061079
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6570512/3061090
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/outlet/LC-WAIKIKI/kadin/Tunik/5848681/2368763
"['Kadın', 'Tişört']",Karamel,3241834,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Ürün Tip: Tişört', 'Kalınlık: İnce', 'Yaka: Bisiklet Yaka', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart', 'Desen: Düz', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6821217/3241834
"['Kadın', 'Tişört']",Lacivert Çizgili,3138300,"['Ürün Özellikleri:', 'Kol Boyu: 3/4 Boy', 'Marka: LCWAIKIKI Basic', 'Ürün Tip: Tişört', 'Cinsiyet: Kadın', 'Kalıp: Standart', 'Yaka: Kayık Yaka', 'Desen: Çizgili']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6562256/3138300
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6737640/3218703
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6841787/3166103
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6615160/3199070
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6803688/3237785
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek-Ceket/5871387/2549479
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Kazak/5334064/2212936
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6613531/3189252
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/outlet/LC-WAIKIKI/kadin/Tunik/5918337/2420275
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6615158/3166086
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/Markalar/kadin/Pantolon/500070262/3423419
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6590869/3188576
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6591012/3188585
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6570504/3111511
